
time (s)       v("OUT" ?resultsDir "/home/meow/jxy/codex_sandbox/sar0716_calibration_20260717/full_adc_latest_bypass_890m_norm_nf100k_matched_cx/psf" ?result "tran") (V)

 1.00985e-05    3.25723e+00   
 1.01985e-05    6.31055e-01   
 1.02985e-05    2.60771e+00   
 1.03985e-05    1.39922e+00   
 1.04985e-05    1.76660e+00   
 1.05985e-05    2.26318e+00   
 1.06985e-05    9.34277e-01   
 1.07985e-05    3.01641e+00   
 1.08985e-05    3.04102e-01   
 1.09985e-05    3.48311e+00   
 1.10985e-05    2.81250e-02   
 1.11985e-05    3.55166e+00   
 1.12985e-05    1.71387e-01   
 1.13985e-05    3.20625e+00   
 1.14985e-05    6.98730e-01   
 1.15985e-05    2.52949e+00   
 1.16985e-05    1.48447e+00   
 1.17985e-05    1.67959e+00   
 1.18985e-05    2.34668e+00   
 1.19985e-05    8.58691e-01   
 1.20985e-05    3.07793e+00   
 1.21985e-05    2.59277e-01   
 1.22985e-05    3.50859e+00   
 1.23985e-05    2.28516e-02   
 1.24985e-05    3.53584e+00   
 1.25985e-05    2.07422e-01   
 1.26985e-05    3.15088e+00   
 1.27985e-05    7.68164e-01   
 1.28985e-05    2.44951e+00   
 1.29985e-05    1.57061e+00   
 1.30985e-05    1.59258e+00   
 1.31985e-05    2.42930e+00   
 1.32985e-05    7.85742e-01   
 1.33985e-05    3.13682e+00   
 1.34985e-05    2.17969e-01   
 1.35985e-05    3.53057e+00   
 1.36985e-05    2.28516e-02   
 1.37985e-05    3.51475e+00   
 1.38985e-05    2.48730e-01   
 1.39985e-05    3.09287e+00   
 1.40985e-05    8.41113e-01   
 1.41985e-05    2.36777e+00   
 1.42985e-05    1.65850e+00   
 1.43985e-05    1.50557e+00   
 1.44985e-05    2.51016e+00   
 1.45985e-05    7.15430e-01   
 1.46985e-05    3.19307e+00   
 1.47985e-05    1.79297e-01   
 1.48985e-05    3.54902e+00   
 1.49985e-05    2.63672e-02   
 1.50985e-05    3.49014e+00   
 1.51985e-05    2.92676e-01   
 1.52985e-05    3.03135e+00   
 1.53985e-05    9.15820e-01   
 1.54985e-05    2.28428e+00   
 1.55985e-05    1.74551e+00   
 1.56985e-05    1.42031e+00   
 1.57985e-05    2.58926e+00   
 1.58985e-05    6.47754e-01   
 1.59985e-05    3.24492e+00   
 1.60985e-05    1.45898e-01   
 1.61985e-05    3.56221e+00   
 1.62985e-05    3.51562e-02   
 1.63985e-05    3.46113e+00   
 1.64985e-05    3.41895e-01   
 1.65985e-05    2.96807e+00   
 1.66985e-05    9.90527e-01   
 1.67985e-05    2.19990e+00   
 1.68985e-05    1.83252e+00   
 1.69985e-05    1.33594e+00   
 1.70985e-05    2.66484e+00   
 1.71985e-05    5.82715e-01   
 1.72985e-05    3.29414e+00   
 1.73985e-05    1.16895e-01   
 1.74985e-05    3.57012e+00   
 1.75985e-05    4.74609e-02   
 1.76985e-05    3.42773e+00   
 1.77985e-05    3.92871e-01   
 1.78985e-05    2.90039e+00   
 1.79985e-05    1.06963e+00   
 1.80985e-05    2.11377e+00   
 1.81985e-05    1.91953e+00   
 1.82985e-05    1.25156e+00   
 1.83985e-05    2.73955e+00   
 1.84985e-05    5.21191e-01   
 1.85985e-05    3.33984e+00   
 1.86985e-05    9.05273e-02   
 1.87985e-05    3.57627e+00   
 1.88985e-05    6.32813e-02   
 1.89985e-05    3.39082e+00   
 1.90985e-05    4.48242e-01   
 1.91985e-05    2.83096e+00   
 1.92985e-05    1.14961e+00   
 1.93985e-05    2.02764e+00   
 1.94985e-05    2.00654e+00   
 1.95985e-05    1.16982e+00   
 1.96985e-05    2.81338e+00   
 1.97985e-05    4.62305e-01   
 1.98985e-05    3.38115e+00   
 1.99985e-05    6.76758e-02   
 2.00985e-05    3.57627e+00   
 2.01985e-05    8.43750e-02   
 2.02985e-05    3.35039e+00   
 2.03985e-05    5.06250e-01   
 2.04985e-05    2.75889e+00   
 2.05985e-05    1.23135e+00   
 2.06985e-05    1.94063e+00   
 2.07985e-05    2.09355e+00   
 2.08985e-05    1.08896e+00   
 2.09985e-05    2.88369e+00   
 2.10985e-05    4.06055e-01   
 2.11985e-05    3.41982e+00   
 2.12985e-05    5.00977e-02   
 2.13985e-05    3.57275e+00   
 2.14985e-05    1.08984e-01   
 2.15985e-05    3.30557e+00   
 2.16985e-05    5.66895e-01   
 2.17985e-05    2.68330e+00   
 2.18985e-05    1.31572e+00   
 2.19985e-05    1.85361e+00   
 2.20985e-05    2.17881e+00   
 2.21985e-05    1.00898e+00   
 2.22985e-05    2.95137e+00   
 2.23985e-05    3.54199e-01   
 2.24985e-05    3.45322e+00   
 2.25985e-05    3.69141e-02   
 2.26985e-05    3.56396e+00   
 2.27985e-05    1.37988e-01   
